record_1,record_2,name_1,name_2,similarity_score,possible_duplicate
CUST004741,CUST004090,Yasmin Brito,Yasmin Brito,100.0,True
CUST000276,CUST005046,Yuri Da Rocha,Yuri Da Rocha,100.0,True
CUST004946,CUST001054,Aurora Macedo,Aurora Macedo,100.0,True
CUST001834,CUST004168,Amanda Vargas,Amanda Vargas,100.0,True
CUST002919,CUST002220,Ana Luiza Fernandes,Ana Luiza Fernandes,100.0,True
CUST001021,CUST003276,Sra. Maria Julia Pimenta,Sra. Maria Júlia Pimenta,100.0,True
CUST002897,CUST005056,Srta. Vitória Almeida,Srta. Vitória Almeida,100.0,True
CUST000107,CUST005059,Stephany Dias,Stephany Dias,100.0,True
CUST000363,CUST005002,Sra. Anna Liz Farias,Sra. Anna Liz Farias,100.0,True
CUST002364,CUST003774,Theo Nascimento,Theo Nascimento,100.0,True
CUST000531,CUST003049,Thiago Gomes,Thiago Gomes,100.0,True
CUST000531,CUST004716,Thiago Gomes,Thiago Gomes,100.0,True
CUST004063,CUST002929,Sofia Caldeira,Sofia Caldeira,100.0,True
CUST002072,CUST003541,Samuel Sales,Samuel Sales,100.0,True
CUST004352,CUST005022,Sr. Bento Silva,Sr. Bento Silva,100.0,True
CUST001938,CUST005010,Sr. Anthony Gabriel Costela,Sr. Anthony Gabriel Costela,100.0,True
CUST004590,CUST000107,Stephany Dias,Stephany Dias,100.0,True
CUST004590,CUST005059,Stephany Dias,Stephany Dias,100.0,True
CUST005019,CUST001810,Srta. Milena Souza,Srta. Milena Souza,100.0,True
CUST002980,CUST003976,Stephany Sousa,Stephany Sousa,100.0,True
CUST004897,CUST004394,Sabrina Pires,Sabrina Pires,100.0,True
CUST001503,CUST005033,Srta. Ana Clara Cavalcante,Srta. Ana Clara Cavalcante,100.0,True
CUST002953,CUST004137,Stephany Da Rocha,Stephany Da Rocha,100.0,True
CUST002678,CUST004586,Sarah Teixeira,Sarah Teixeira,100.0,True
CUST004714,CUST003594,Sr. Nathan Albuquerque,Sr. Nathan Albuquerque,100.0,True
CUST002081,CUST001375,Stella Teixeira,Stella Teixeira,100.0,True
CUST002027,CUST000338,Sophia Santos,Sophia Santos,100.0,True
CUST000127,CUST004680,Ana Júlia Borges,Ana Júlia Borges,100.0,True
CUST000132,CUST001570,Alexia Camargo,Alexia Camargo,100.0,True
CUST000366,CUST000639,Ana Lívia Da Costa,Ana Lívia Da Costa,100.0,True
CUST002858,CUST005026,Ana Vitória Aparecida,Ana Vitória Aparecida,100.0,True
CUST004303,CUST000223,Ana Júlia Ferreira,Ana Júlia Ferreira,100.0,True
CUST000406,CUST004856,Anthony Gabriel Da Luz,Anthony Gabriel Da Luz,100.0,True
CUST003000,CUST003346,Asafe Moreira,Asafe Moreira,100.0,True
CUST004332,CUST000656,Ágatha Da Rocha,Ágatha Da Rocha,100.0,True
CUST004320,CUST000476,Amanda Pereira,Amanda Pereira,100.0,True
CUST001807,CUST004031,Ana Julia Gonçalves,Ana Julia Gonçalves,100.0,True
CUST004490,CUST005034,Ana Luiza Rezende,Ana Luiza Rezende,100.0,True
CUST003257,CUST005065,Ana Lívia Marques,Ana Lívia Marques,100.0,True
CUST003054,CUST005009,Antony Da Mata,Antony Da Mata,100.0,True
CUST001358,CUST001727,Ana Julia Castro,Ana Júlia Castro,100.0,True
CUST000867,CUST004481,Ana Júlia Da Mata,Ana Júlia Da Mata,100.0,True
CUST003524,CUST000819,Antônio Gonçalves,Antônio Gonçalves,100.0,True
CUST003837,CUST004778,Anna Liz Pires,Anna Liz Pires,100.0,True
CUST000005,CUST002320,Arthur Gabriel Alves,Arthur Gabriel Alves,100.0,True
CUST000359,CUST004289,Alice Silveira,Alice Silveira,100.0,True
CUST000312,CUST000205,Antônio Teixeira,Antônio Teixeira,100.0,True
CUST000785,CUST002288,Anthony Gabriel Sousa,Anthony Gabriel Sousa,100.0,True
CUST004173,CUST002973,Ana Júlia Sá,Ana Julia Sá,100.0,True
CUST003402,CUST003675,Aurora Caldeira,Aurora Caldeira,100.0,True
CUST003453,CUST003402,Aurora Caldeira,Aurora Caldeira,100.0,True
CUST003453,CUST003675,Aurora Caldeira,Aurora Caldeira,100.0,True
CUST003925,CUST002506,Arthur Gabriel Rios,Arthur Gabriel Rios,100.0,True
CUST001615,CUST004173,Ana Júlia Sá,Ana Júlia Sá,100.0,True
CUST001615,CUST002973,Ana Júlia Sá,Ana Julia Sá,100.0,True
CUST002220,CUST003420,Ana Luiza Fernandes,Ana Luiza Fernandes,100.0,True
CUST002717,CUST003589,Ana Laura Barros,Ana Laura Barros,100.0,True
CUST005063,CUST004564,Aylla Araújo,Aylla Araújo,100.0,True
CUST001448,CUST004863,Alice Rios,Alice Rios,100.0,True
CUST003748,CUST001172,Amanda Da Conceição,Amanda Da Conceição,100.0,True
CUST004102,CUST001448,Alice Rios,Alice Rios,100.0,True
CUST004102,CUST004863,Alice Rios,Alice Rios,100.0,True
CUST004140,CUST002107,Anthony Gabriel Marques,Anthony Gabriel Marques,100.0,True
CUST002548,CUST004187,Alexandre Cassiano,Alexandre Cassiano,100.0,True
CUST000576,CUST001611,Sophie Casa Grande,Sophie Casa Grande,100.0,True
CUST002079,CUST001763,Stella Nascimento,Stella Nascimento,100.0,True
CUST000020,CUST005029,Sr. João Vitor Barros,Sr. João Vitor Barros,100.0,True
CUST002216,CUST005032,Srta. Liz Nascimento,Srta. Liz Nascimento,100.0,True
CUST002933,CUST002261,Sara Siqueira,Sara Siqueira,100.0,True
CUST002586,CUST005066,Srta. Heloísa Das Neves,Srta. Heloísa Das Neves,100.0,True
CUST000888,CUST003272,Rebeca Marques,Rebeca Marques,100.0,True
CUST001136,CUST002375,Rafael Pimenta,Rafael Pimenta,100.0,True
CUST004578,CUST005061,Renan Costela,Renan Costela,100.0,True
CUST001072,CUST005038,Rafael Mendonça,Rafael Mendonça,100.0,True
CUST001072,CUST004609,Rafael Mendonça,Rafael Mendonça,100.0,True
CUST005038,CUST004609,Rafael Mendonça,Rafael Mendonça,100.0,True
CUST000743,CUST002749,Ravy Sousa,Ravy Sousa,100.0,True
CUST000572,CUST005021,Rodrigo Freitas,Rodrigo Freitas,100.0,True
CUST001053,CUST000193,Rael Da Luz,Rael Da Luz,100.0,True
CUST002455,CUST005049,Ravi Santos,Ravi Santos,100.0,True
CUST003572,CUST000088,Beatriz Aragão,Beatriz Aragão,100.0,True
CUST001765,CUST001070,Caleb Guerra,Caleb Guerra,100.0,True
CUST003225,CUST000924,Cecilia Sá,Cecília Sá,100.0,True
CUST003004,CUST001057,Cecília Viana,Cecilia Viana,100.0,True
CUST001945,CUST003730,Beatriz Silveira,Beatriz Silveira,100.0,True
CUST000019,CUST005025,Bernardo Aparecida,Bernardo Aparecida,100.0,True
CUST002827,CUST003317,Bianca Duarte,Bianca Duarte,100.0,True
CUST001344,CUST000665,Benício Das Neves,Benício Das Neves,100.0,True
CUST001588,CUST001161,Benjamim Cavalcanti,Benjamim Cavalcanti,100.0,True
CUST002676,CUST003967,Beatriz Mendonça,Beatriz Mendonça,100.0,True
CUST004804,CUST005018,Beatriz Gomes,Beatriz Gomes,100.0,True
CUST002317,CUST000358,Beatriz Moura,Beatriz Moura,100.0,True
CUST000487,CUST001199,Benicio Rocha,Benicio Rocha,100.0,True
CUST000581,CUST005036,Anna Liz Freitas,Anna Liz Freitas,100.0,True
CUST000105,CUST003863,Ana Cecília Pinto,Ana Cecília Pinto,100.0,True
CUST001775,CUST004392,Bárbara Barros,Bárbara Barros,100.0,True
CUST001047,CUST001449,Brenda Oliveira,Brenda Oliveira,100.0,True
CUST004757,CUST005013,Benicio Freitas,Benicio Freitas,100.0,True
CUST000779,CUST003729,Rafael Ramos,Rafael Ramos,100.0,True
CUST004958,CUST002422,Ryan Aragão,Ryan Aragão,100.0,True
CUST001806,CUST002876,Raquel Da Rosa,Raquel Da Rosa,100.0,True
CUST002078,CUST002411,Rafael Aparecida,Rafael Aparecida,100.0,True
CUST002334,CUST003616,Rebeca Costa,Rebeca Costa,100.0,True
CUST002095,CUST003250,Rael Porto,Rael Porto,100.0,True
CUST004819,CUST002073,Raul Da Cruz,Raul Da Cruz,100.0,True
CUST002265,CUST001283,Rodrigo Santos,Rodrigo Santos,100.0,True
CUST001035,CUST004065,Rael Pinto,Rael Pinto,100.0,True
CUST004116,CUST005014,Raul Albuquerque,Raul Albuquerque,100.0,True
CUST000252,CUST003875,Raquel Cunha,Raquel Cunha,100.0,True
CUST002441,CUST002952,Clarice Oliveira,Clarice Oliveira,100.0,True
CUST001510,CUST001884,Camila Vargas,Camila Vargas,100.0,True
CUST001432,CUST005027,Camila Novaes,Camila Novaes,100.0,True
CUST002494,CUST003183,Caroline Vieira,Caroline Vieira,100.0,True
CUST001406,CUST000664,Caroline Pimenta,Caroline Pimenta,100.0,True
CUST004399,CUST002428,Davi Lucas Andrade,Davi Lucas Andrade,100.0,True
CUST000451,CUST000957,Clara Azevedo,Clara Azevedo,100.0,True
CUST003714,CUST004406,Cauê Silveira,Cauê Silveira,100.0,True
CUST003148,CUST004581,Clara Casa Grande,Clara Casa Grande,100.0,True
CUST005008,CUST003816,Cauã Barbosa,Cauã Barbosa,100.0,True
CUST004012,CUST002928,Cauã Novais,Cauã Novais,100.0,True
CUST001240,CUST004641,Cecília Nunes,Cecilia Nunes,100.0,True
CUST003600,CUST005007,Catarina Moraes,Catarina Moraes,100.0,True
CUST001313,CUST002816,Clara Campos,Clara Campos,100.0,True
CUST001969,CUST000035,Cecilia Da Luz,Cecília Da Luz,100.0,True
CUST001504,CUST002979,Cecilia Silva,Cecilia Silva,100.0,True
CUST000039,CUST005039,Cecilia Moraes,Cecilia Moraes,100.0,True
CUST001034,CUST003038,Cecilia Cirino,Cecília Cirino,100.0,True
CUST002228,CUST004086,Cauê Rodrigues,Cauê Rodrigues,100.0,True
CUST001279,CUST005008,Cauã Barbosa,Cauã Barbosa,100.0,True
CUST001279,CUST003816,Cauã Barbosa,Cauã Barbosa,100.0,True
CUST004133,CUST004196,Camila Lopes,Camila Lopes,100.0,True
CUST000396,CUST002202,Caroline Borges,Caroline Borges,100.0,True
CUST004730,CUST003517,Camila Mendonça,Camila Mendonça,100.0,True
CUST003249,CUST000778,Cauê Farias,Cauê Farias,100.0,True
CUST001688,CUST000928,Cecília Vieira,Cecilia Vieira,100.0,True
CUST002636,CUST002713,Catarina Alves,Catarina Alves,100.0,True
CUST003018,CUST005069,Dr. Mathias Da Conceição,Dr. Mathias Da Conceição,100.0,True
CUST002213,CUST003191,Davi Lucas Moraes,Davi Lucas Moraes,100.0,True
CUST002213,CUST005005,Davi Lucas Moraes,Davi Lucas Moraes,100.0,True
CUST004088,CUST005040,Danilo Aragão,Danilo Aragão,100.0,True
CUST002514,CUST001324,Diogo Nunes,Diogo Nunes,100.0,True
CUST001685,CUST005037,Dr. Bryan Cunha,Dr. Bryan Cunha,100.0,True
CUST004698,CUST003081,Dr. Matteo Nascimento,Dr. Matteo Nascimento,100.0,True
CUST004837,CUST005020,Dr. Diego Da Cruz,Dr. Diego Da Cruz,100.0,True
CUST000388,CUST005012,Dr. João Guilherme Albuquerque,Dr. João Guilherme Albuquerque,100.0,True
CUST001679,CUST003532,Davi Lucas Oliveira,Davi Lucas Oliveira,100.0,True
CUST003386,CUST005017,Dr. Thomas Santos,Dr. Thomas Santos,100.0,True
CUST000216,CUST005048,Dr. Davi Luiz Martins,Dr. Davi Luiz Martins,100.0,True
CUST002783,CUST004205,Diogo Alves,Diogo Alves,100.0,True
CUST002783,CUST000179,Diogo Alves,Diogo Alves,100.0,True
CUST003056,CUST005001,Davi Lucas Da Rosa,Davi Lucas Da Rosa,100.0,True
CUST002921,CUST000285,Dante Novais,Dante Novais,100.0,True
CUST004788,CUST002324,Davi Lucca Garcia,Davi Lucca Garcia,100.0,True
CUST000559,CUST005054,Dr. Davi Lucca Peixoto,Dr. Davi Lucca Peixoto,100.0,True
CUST002925,CUST005024,Dra. Bella Santos,Dra. Bella Santos,100.0,True
CUST004889,CUST003030,Pedro Miguel Barros,Pedro Miguel Barros,100.0,True
CUST003843,CUST002590,Pedro Aparecida,Pedro Aparecida,100.0,True
CUST001987,CUST001857,Pedro Da Rocha,Pedro Da Rocha,100.0,True
CUST000936,CUST003666,Pedro Cirino,Pedro Cirino,100.0,True
CUST000643,CUST002932,Pedro Miguel Teixeira,Pedro Miguel Teixeira,100.0,True
CUST000642,CUST000865,Rael Freitas,Rael Freitas,100.0,True
CUST003796,CUST004610,Olivia Souza,Olívia Souza,100.0,True
CUST001642,CUST004917,Olivia Rezende,Olívia Rezende,100.0,True
CUST000328,CUST000643,Pedro Miguel Teixeira,Pedro Miguel Teixeira,100.0,True
CUST000328,CUST002932,Pedro Miguel Teixeira,Pedro Miguel Teixeira,100.0,True
CUST001629,CUST000958,Pedro Henrique Da Mota,Pedro Henrique Da Mota,100.0,True
CUST003398,CUST004068,Otávio Cavalcante,Otávio Cavalcante,100.0,True
CUST002787,CUST003781,Olivia Carvalho,Olívia Carvalho,100.0,True
CUST004669,CUST000077,Olívia Da Cruz,Olívia Da Cruz,100.0,True
CUST004772,CUST002655,Olívia Novais,Olívia Novais,100.0,True
CUST000585,CUST001433,Olivia Sampaio,Olívia Sampaio,100.0,True
CUST000339,CUST003009,Oliver Mendes,Oliver Mendes,100.0,True
CUST002986,CUST003882,Olívia Cunha,Olívia Cunha,100.0,True
CUST001747,CUST001355,Marcela Ferreira,Marcela Ferreira,100.0,True
CUST001492,CUST005058,Noah Andrade,Noah Andrade,100.0,True
CUST002853,CUST003211,Nina Lopes,Nina Lopes,100.0,True
CUST000320,CUST000741,Noah Sales,Noah Sales,100.0,True
CUST003057,CUST000295,Nicolas Machado,Nicolas Machado,100.0,True
CUST001201,CUST002958,Nathan Machado,Nathan Machado,100.0,True
CUST000203,CUST004166,Nina Leão,Nina Leão,100.0,True
CUST004638,CUST003467,Esther Souza,Esther Souza,100.0,True
CUST004638,CUST003595,Esther Souza,Esther Souza,100.0,True
CUST003467,CUST003595,Esther Souza,Esther Souza,100.0,True
CUST003214,CUST002333,Emanuelly Macedo,Emanuelly Macedo,100.0,True
CUST003175,CUST004104,Felipe Da Luz,Felipe Da Luz,100.0,True
CUST002198,CUST003853,Emanuelly Santos,Emanuelly Santos,100.0,True
CUST001648,CUST004111,Eloah Sá,Eloah Sá,100.0,True
CUST003301,CUST002192,Enzo Gabriel Barbosa,Enzo Gabriel Barbosa,100.0,True
CUST001767,CUST001697,Emanuelly Melo,Emanuelly Melo,100.0,True
