customer_id,customer_name,email,age,gender,city,state,signup_date,income,purchase_count,total_spent,satisfaction_score,email_valido,signup_date_year,signup_date_month,signup_date_quarter,signup_date_weekday,customer_segment
CUST001040,Maria Vitória Santos,maria.vitoria.santos@mail.com,26.0,feminino,Caruaru,PE,2021-01-25,3481.0,7,1870.0,4.9,True,2021,1,1,Monday,Medium Value
CUST000492,Marina Camargo,marina.camargo@correio.net,18.0,feminino,Campinas,SP,2021-02-10,2585.0,5,1546.0,4.7,True,2021,2,1,Wednesday,Medium Value
CUST004279,Allana Novaes,allana.novaes@webmail.com,38.0,feminino,Juazeiro do Norte,CE,2021-02-15,5098.0,8,3332.0,4.1,True,2021,2,1,Monday,High Value
CUST003069,Bernardo Da Rosa,bernardo.da.rosa@email.com,18.0,masculino,Ribeirão Preto,SP,2021-02-18,3963.0,11,2496.0,5.0,True,2021,2,1,Thursday,High Value
CUST003410,Francisco Santos,francisco.santos@webmail.com,33.0,masculino,Várzea Grande,MT,2021-02-25,2610.0,7,990.0,3.9,True,2021,2,1,Thursday,Low Value
CUST000931,Isabel Barbosa,isabel.barbosa@email.com,38.0,feminino,Rio Verde,GO,2021-02-25,900.0,5,366.0,4.2,True,2021,2,1,Thursday,Low Value
CUST001554,Ana Cecília Lima,ana.cecilia.lima@mail.com,38.0,feminino,Várzea Grande,MT,2021-02-28,2718.0,9,2282.0,4.8,True,2021,2,1,Sunday,High Value
CUST001937,Henry Pereira,henry.pereira@provedor.com.br,59.0,masculino,Juazeiro do Norte,CE,2021-02-28,5032.0,11,2971.0,2.3,True,2021,2,1,Sunday,High Value
CUST002448,Nicolas Cunha,nicolas.cunha@mail.com,18.0,masculino,Sorocaba,SP,2021-03-02,3744.0,11,2756.0,4.4,True,2021,3,1,Tuesday,High Value
CUST002216,Srta. Liz Nascimento,srta..liz.nascimento@email.com,21.0,feminino,Juazeiro do Norte,CE,2021-03-13,2179.0,8,1760.0,4.3,True,2021,3,1,Saturday,Medium Value
CUST003493,Matteo Barbosa,matteo.barbosa@provedor.com.br,18.0,masculino,Uberlândia,MG,2021-03-13,3313.0,5,1225.0,4.9,True,2021,3,1,Saturday,Low Value
CUST002882,Rodrigo Rezende,rodrigo.rezende@webmail.com,32.0,masculino,Maringá,PR,2021-03-17,2495.0,5,1250.0,3.3,True,2021,3,1,Wednesday,Low Value
CUST002879,Davi Lucas Carvalho,davi.lucas.carvalho@email.com,41.0,masculino,Rio Verde,GO,2021-03-18,2666.0,6,1000.0,4.2,True,2021,3,1,Thursday,Low Value
CUST003695,Eduarda Oliveira,eduarda.oliveira@correio.net,18.0,feminino,Duque de Caxias,RJ,2021-03-18,3571.0,9,946.0,3.4,True,2021,3,1,Thursday,Low Value
CUST004239,Sra. Heloisa Costa,sra..heloisa.costa@provedor.com.br,41.0,feminino,Sorocaba,SP,2021-03-18,2220.0,8,1923.0,4.7,True,2021,3,1,Thursday,Medium Value
CUST004859,Theodoro Dias,theodoro.dias@mail.com,34.0,masculino,Brasília,DF,2021-03-18,3430.0,5,346.0,4.0,True,2021,3,1,Thursday,Low Value
CUST003175,Felipe Da Luz,felipe.da.luz@email.com,29.0,outro,Porto Alegre,RS,2021-03-19,2114.0,8,1697.0,2.3,True,2021,3,1,Friday,Medium Value
CUST002153,Stephany Da Rosa,stephany.da.rosa@email.com,39.0,feminino,Ribeirão Preto,SP,2021-03-20,1032.0,6,1886.0,3.7,True,2021,3,1,Saturday,Medium Value
CUST003529,Fernando Peixoto,fernando.peixoto@correio.net,30.0,masculino,Uberlândia,MG,2021-03-20,3129.0,8,1641.0,5.0,True,2021,3,1,Saturday,Medium Value
CUST004630,Nina Nunes,nina.nunes@correio.net,32.0,feminino,Sobral,CE,2021-03-29,2133.0,3,801.0,4.0,True,2021,3,1,Monday,Low Value
CUST003530,Sr. André Novais,sr..andre.novais@mail.com,48.0,masculino,Maringá,PR,2021-03-30,5037.0,20,3756.0,3.8,True,2021,3,1,Tuesday,High Value
CUST004935,Enrico Duarte,enrico.duarte@mail.com,50.0,masculino,Sobral,CE,2021-03-31,8129.0,4,1301.0,3.5,True,2021,3,1,Wednesday,Medium Value
CUST003874,Ana Luiza Dias,ana.luiza.dias@provedor.com.br,37.0,feminino,Caxias do Sul,RS,2021-04-01,1920.0,2,750.0,3.8,True,2021,4,2,Thursday,Low Value
CUST002524,Vitor Gabriel Machado,vitor.gabriel.machado@webmail.com,47.0,outro,Salvador,BA,2021-04-01,4024.0,7,1941.0,5.0,True,2021,4,2,Thursday,Medium Value
CUST002614,João Pedro Novais,joao.pedro.novais@provedor.com.br,61.0,masculino,São Paulo,SP,2021-04-01,4662.0,6,1602.0,4.5,True,2021,4,2,Thursday,Medium Value
CUST003872,Sr. Miguel Vargas,sr..miguel.vargas@email.com,38.0,masculino,Olinda,PE,2021-04-04,2078.0,3,482.0,4.8,True,2021,4,2,Sunday,Low Value
CUST002705,Noah Da Mata,noah.da.mata@provedor.com.br,51.0,masculino,São Paulo,SP,2021-04-05,3313.5,6,2223.0,3.6,True,2021,4,2,Monday,High Value
CUST000965,Maria Helena Farias,maria.helena.farias@correio.net,35.0,feminino,Joinville,SC,2021-04-07,4444.0,4,1040.0,4.9,True,2021,4,2,Wednesday,Low Value
CUST004879,Sra. Emanuelly Aparecida,sra..emanuelly.aparecida@mail.com,39.0,feminino,Rio de Janeiro,RJ,2021-04-09,3862.0,7,1290.0,4.0,True,2021,4,2,Friday,Low Value
CUST001778,Maria Fernanda Pinto,maria.fernanda.pinto@email.com,42.0,feminino,Várzea Grande,MT,2021-04-15,3470.0,8,1640.0,3.4,True,2021,4,2,Thursday,Medium Value
CUST002683,Julia Aragão,julia.aragao@provedor.com.br,55.0,feminino,Juiz de Fora,MG,2021-04-17,4927.0,11,3443.0,3.3,True,2021,4,2,Saturday,High Value
CUST002336,Dr. Cauê Casa Grande,dr..caue.casa.grande@mail.com,37.0,masculino,Brasília,DF,2021-04-19,4493.0,9,2197.0,2.6,True,2021,4,2,Monday,High Value
CUST004885,Rhavi Martins,rhavi.martins@webmail.com,55.0,masculino,Florianópolis,SC,2021-04-21,3526.0,8,2124.0,3.9,True,2021,4,2,Wednesday,High Value
CUST002361,Gael Alves,gael.alves@mail.com,18.0,masculino,Vitória da Conquista,BA,2021-04-22,900.0,5,980.0,5.0,True,2021,4,2,Thursday,Low Value
CUST000207,Luiz Gustavo Da Rosa,luiz.gustavo.da.rosa@email.com,29.0,masculino,Porto Alegre,RS,2021-04-22,1704.0,6,1209.0,5.0,True,2021,4,2,Thursday,Low Value
CUST001210,Camila Aparecida,camila.aparecida@provedor.com.br,49.0,feminino,Brasília,DF,2021-04-25,2473.0,8,1984.0,3.9,True,2021,4,2,Sunday,Medium Value
CUST002238,Sra. Aurora Pacheco,sra..aurora.pacheco@correio.net,22.0,feminino,unknown,SP,2021-04-25,1931.0,9,2019.0,4.6,True,2021,4,2,Sunday,Medium Value
CUST004422,Giovanna Lopes,giovanna.lopes@correio.net,49.0,feminino,Juiz de Fora,MG,2021-04-29,3313.0,6,1631.0,3.9,True,2021,4,2,Thursday,Medium Value
CUST002251,Catarina Albuquerque,catarina.albuquerque@webmail.com,48.0,feminino,Duque de Caxias,RJ,2021-04-29,2221.0,5,1267.0,4.3,True,2021,4,2,Thursday,Low Value
CUST004095,Gustavo Ferreira,gustavo.ferreira@email.com,60.0,masculino,unknown,RS,2021-05-01,5650.0,8,2112.0,4.3,True,2021,5,2,Saturday,High Value
CUST005032,Srta. Liz Nascimento,srta..liz.nascimento@email.com,20.0,feminino,Juazeiro do Norte,CE,2021-05-01,2176.0,6,1842.0,4.4,True,2021,5,2,Saturday,Medium Value
CUST004946,Aurora Macedo,aurora.macedo@provedor.com.br,20.0,feminino,Brasília,DF,2021-05-02,3430.0,8,1918.0,4.4,True,2021,5,2,Sunday,Medium Value
CUST002383,Emanuella Farias,emanuella.farias@provedor.com.br,56.0,feminino,Rio de Janeiro,RJ,2021-05-02,4828.0,12,2961.0,3.5,True,2021,5,2,Sunday,High Value
CUST002363,Ágatha Ramos,agatha.ramos@correio.net,59.0,feminino,Maringá,PR,2021-05-03,3358.0,7,1637.0,2.5,True,2021,5,2,Monday,Medium Value
CUST001322,Anthony Gabriel Viana,anthony.gabriel.viana@provedor.com.br,29.0,masculino,unknown,SP,2021-05-03,3273.0,6,1250.0,4.2,True,2021,5,2,Monday,Low Value
CUST002386,Sra. Eloah Macedo,sra..eloah.macedo@provedor.com.br,25.0,feminino,Rio de Janeiro,RJ,2021-05-04,3357.5,9,2395.0,3.3,True,2021,5,2,Tuesday,High Value
CUST005004,Gael Alves,gael.alves@webmail.com,18.0,masculino,Vitória da Conquista,BA,2021-05-06,877.0,4,1028.0,4.9,True,2021,5,2,Thursday,Low Value
CUST001532,Dra. Laura Lima,dra..laura.lima@email.com,47.0,feminino,Rio Verde,GO,2021-05-09,3400.0,7,1749.0,4.3,True,2021,5,2,Sunday,Medium Value
CUST000400,Theodoro Da Mata,theodoro.da.mata@mail.com,35.0,masculino,Blumenau,SC,2021-05-11,1711.0,6,1861.0,4.6,True,2021,5,2,Tuesday,Medium Value
CUST001668,Sarah Carvalho,sarah.carvalho@webmail.com,25.0,feminino,Campinas,SP,2021-05-11,3812.0,11,2100.0,4.0,True,2021,5,2,Tuesday,High Value
CUST003546,Cecília Da Rosa,cecilia.da.rosa@provedor.com.br,47.0,feminino,Serra,ES,2021-05-13,5614.0,6,1971.0,3.3,True,2021,5,2,Thursday,Medium Value
CUST001811,Joana Fonseca,joana.fonseca@correio.net,38.0,feminino,Feira de Santana,BA,2021-05-19,4087.0,6,2235.0,3.0,True,2021,5,2,Wednesday,High Value
CUST004887,Liam Vieira,liam.vieira@email.com,38.0,masculino,Pelotas,RS,2021-05-19,6345.0,14,4537.0,4.9,True,2021,5,2,Wednesday,High Value
