Customer ID,Customer Name,Email,Age,Gender,City,State,Signup Date,Income,Purchase Count,Total Spent,Satisfaction Score
CUST001385,Emilly da Rocha,emilly.da.rocha@mail.com,52.0,Fem,Manaus,amazonas,2025/05/30,3181,7,"R$ 1.356,00",3.1
CUST000466,Bento Pastor,BENTO.PASTOR@CORREIO.NET,61.0,Masc,,sp,17/03/2023,4.888,6,1724,5.0
CUST001552,Ana Vitória Cirino,ana.vitoria.cirino@webmail.com,29.0,Fem,Fortaleza,CE,2023/08/08,6726,14,"R$ 2.934,00",5.0
CUST003355,gael aragão,gael.aragao@correio.net,27.0,male,Uberlândia,mg,12/08/2023,"R$ 2.574,00",6,1448,3.8
CUST001680,Enrico Carvalho,ENRICO.CARVALHO@WEBMAIL.COM,23.0,male,Duque de Caxias,RJ,29-06-2024,,8,"R$ 2.324,00",4.4
CUST000379,Anthony Martins,anthony.martins@correio.net,34.0,MASCULINO,Brasília,DF,2024-07-14,2643,7,1097,4.5
CUST001653,Ryan da Conceição,ryan.da.conceicao@provedor.com.br,26.0,Masc,Goiânia,Goiás,2024/10/27,1956,8,1883,4.8
CUST000436,Erick Camargo,ERICK.CAMARGO@PROVEDOR.COM.BR,30.0,Não binário,Contagem,MG,12-04-2024,,7,1.713,2.9
CUST000412,Ana Luiza Porto, ana.luiza.porto@email.com ,44.0,Fem,Feira de Santana,bahia,2024-01-09,2746,6,"R$ 714,00",3.5
CUST002550,Dr. Davi Rezende,dr..davi.rezende@mail.com,50.0,Masculino,Porto Alegre,rio grande do sul,30-03-2025,2895,14,2835,3.9
CUST004566,BERNARDO FERREIRA, bernardo.ferreira@email.com ,34.0,Masculino,Petrópolis,RJ,2025/04/21,4267,8,2.434,4.7
CUST004788,Davi Lucca Garcia,davi.lucca.garcia@correio.net,47.0,male,Juiz de Fora,Minas Gerais,2022-01-01,5.784,5,"R$ 1.893,00",4.0
CUST002660,Arthur Pastor,arthur.pastor@mail.com,28.0,M,Joinville,Santa Catarina,25-06-2022,3.088,7,1.643,3.8
CUST005039,cecilia moraes,cecilia.moraes@webmail.com,37.0,fem,Pelotas,RS,2023-07-10,2.126,4,667,3.6
CUST000200,ISABEL GOMES,ISABEL.GOMES@EMAIL.COM,35.0,fem,Manaus,AM,2024/06/25,"R$ 2.171,00",10,1.642,4.4
CUST004482,henry fernandes,henry.fernandes@webmail.com,46.0,Masculino,Petrópolis,RJ,16/12/2024,1.871,8,1771,4.6
CUST004441,Davi Miguel da Mota,DAVI.MIGUEL.DA.MOTA@MAIL.COM,30.0,MASCULINO,Porto Alegre,rio grande do sul,2023-04-25,"R$ 5.066,00",6,"R$ 1.929,00",3.7
CUST002457,SRA. VITÓRIA ANDRADE,sra. .vitoria.andrade@correio.net,53.0,F,Vitória da Conquista,BA ,24-06-2021,2.636,7,1798,3.3
CUST004699,Luiz Felipe Mendonça, luiz.felipe.mendonca@email.com ,18.0,MASCULINO,Caruaru,PE,2024/08/14,1.995,4,1079,5.0
CUST002914,Sabrina da Rosa,SABRINA.DA.ROSA@WEBMAIL.COM,46.0,female,Contagem,Minas Gerais,19/09/2025,"R$ 3.426,00",9,"R$ 2.963,00",3.5
CUST002865,MATTEO APARECIDA,MATTEO.APARECIDA@WEBMAIL.COM,45.0,Masc,Contagem,MG,2025-02-18,"R$ 2.896,00",9,2.118,3.3
